Genes,est_ep,q_ep,est_se,q_se
NCK2,0.168818920858893,0.353628395256479,-0.0385538461538459,0.780054659776122
NCLN,-0.0974873972503347,0.418899443916715,-0.179907692307692,0.239303088057047
NDUFA5,0.0458279653413991,0.8426852737696,0.0628076923076921,0.800066181017852
NEO1,0.285858965851976,0.0696853566038631,-0.0434653846153845,0.639696734650839
NEXN,-0.183712643448183,0.230315825572477,-0.0869807692307692,0.360140175949119
NID1,0.203725387492053,0.124611864892835,0.0102153846153838,0.937303105471315
NID2,-0.0814811505516405,0.538133898841405,-0.127896153846154,0.459456268673161
NME1,0.342777744983864,0.0329625999811162,-0.00103846153846144,0.999616497242442
NRCAM,0.123006769174248,0.681218222966185,-0.0701999999999998,0.29280858394826
NRP1,0.41065041361397,0.0173614642884635,0.1016,0.275294199658994
NRP2,0.529404599754793,0.00554715131857844,0.0993807692307691,0.0871424199171453
NSFL1C,-0.346624484895165,0.0558323161799787,0.0302615384615387,0.932955427960377
NUCB2,-0.12885077279248,0.467217209758678,-0.00821153846153798,0.95813798590095
NUDC,-0.104506212383097,0.447571872616141,-0.0265346153846152,0.878754058936083
OGN,0.425628608972285,0.144684674038516,0.00301538461538463,0.987732750433118
OMD,0.447339341530492,0.0205696341301766,0.108676923076923,0.196724052097682
